Age,Gender,Weight_kg,Height_m,Goal,Breakfast_Meal,Breakfast_Calories,Breakfast_Protein_g,Breakfast_Carbs_g,Breakfast_Fats_g,Lunch_Meal,Lunch_Calories,Lunch_Protein_g,Lunch_Carbs_g,Lunch_Fats_g,Dinner_Meal,Dinner_Calories,Dinner_Protein_g,Dinner_Carbs_g,Dinner_Fats_g,Snacks_Meal,Snacks_Calories,Snacks_Protein_g,Snacks_Carbs_g,Snacks_Fats_g,Total_Calories,Total_Protein_g,Total_Carbs_g,Total_Fats_g
58,Female,61.2,1.58,Weight Loss,Tom_Brown_and_bread,401.0,9.0,53.0,4.0,Fufu_with_Light_Soup_with_Goat_Meat,590.0,31.0,72.0,10.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,615.79,38.98,64.77,13.31,Nkatie_Cake_(Groundnut_Cake),345.0,9.0,25.0,14.0,1951.79,87.98,214.77,41.31
23,Male,76.5,1.77,Muscle Gain,Oatmeal,336.42,9.46,47.78,5.3,Red-Red_(Beans_and_Plantain_with_red_oil),653.0,37.0,47.0,17.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,581.0,30.0,58.0,24.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1877.8,82.37,189.37,57.15
20,Male,84.9,1.74,Muscle Gain,Oatmeal,375.0,9.0,39.0,4.0,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Banku_and_Tilapia_with_Hot_Pepper,627.0,55.0,72.0,14.0,Nkatie_Cake_(Groundnut_Cake),385.0,10.0,25.0,16.0,2006.2,113.43,200.97,47.31
56,Female,65.4,1.6,Weight Loss,Oatmeal,245.0,10.0,43.0,3.0,Jollof_Rice_with_Chicken,597.0,37.0,79.0,14.0,Tuo_Zaafi_with_Meat_Stew,654.0,35.0,74.0,10.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1803.38,87.91,232.59,37.85
72,Male,76.3,1.69,Muscle Gain,White_porridge_and_bread,348.0,7.0,61.0,5.0,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Jollof_Rice_with_Chicken,734.0,46.0,72.0,17.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2008.58,98.34,234.56,46.16
52,Female,61.4,1.6,Weight Loss,Oatmeal,281.0,10.0,35.0,4.0,Tuo_Zaafi_with_Meat_Stew,630.0,30.0,70.0,10.0,Boiled_Plantain/Yam_and_Garden_egg_stew,505.0,21.0,58.0,7.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1723.38,66.91,199.59,31.85
18,Male,72.6,1.7,Muscle Gain,Hausa_Koko_(millet_porridge)_with_Koose,388.0,13.0,45.0,8.0,Banku_with_Okra_Soup,629.0,44.0,71.0,11.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,615.79,38.98,64.77,13.31,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1940.17,101.89,217.36,43.16
11,Female,55.4,1.18,Muscle Gain,Oatmeal,279.0,15.0,46.0,4.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,507.0,48.0,51.0,19.0,Waakye_and_Fish_with_egg,567.0,60.0,61.0,11.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1660.38,128.91,194.59,44.85
24,Female,58.1,1.63,Weight Loss,Hausa_Koko_(millet_porridge)_with_Koose,301.0,13.0,34.0,6.0,Banku_with_Okra_Soup,665.0,27.0,63.0,10.0,Red-Red_(Beans_and_Plantain_with_red_oil),484.0,26.0,51.0,16.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1757.38,71.91,184.59,42.85
58,Female,54.9,1.68,Weight Loss,Rice_water_and_bread,260.0,7.0,45.0,4.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,624.0,32.0,49.0,16.0,Red-Red_(Beans_and_Plantain_with_red_oil),454.0,31.0,43.0,12.0,Atsoomo_(Chin-Chin),325.0,4.0,27.0,17.0,1663.0,74.0,164.0,49.0
72,Female,71.3,1.57,Muscle Gain,Rice_water_and_bread,309.0,9.0,47.0,3.0,Banku_and_Tilapia_with_Hot_Pepper,533.0,45.0,60.0,13.0,Plain_Rice_with_Chicken,664.0,48.0,74.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1813.38,107.91,217.59,38.85
81,Female,52.3,1.55,Weight Loss,Tom_Brown_and_bread,268.0,9.0,52.0,4.0,Boiled_Plantain/Yam_and_Garden_egg_stew,385.0,21.0,53.0,5.0,Fufu_with_Light_Soup_with_Goat_Meat,522.0,30.0,74.0,8.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1482.38,65.91,215.59,27.85
42,Male,75.2,1.64,Muscle Gain,Tom_Brown_and_bread,464.0,10.0,52.0,6.0,Plain_Rice_with_Chicken,756.0,67.0,73.0,20.0,Waakye_and_Fish_with_egg,775.0,48.0,68.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2302.38,130.91,229.59,48.85
17,Female,50.8,1.31,Muscle Gain,Tea/Milo/Coffee_with_bread,212.0,7.0,42.0,7.0,Fufu_with_Light_Soup_with_Goat_Meat,644.0,50.0,81.0,15.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,615.79,38.98,64.77,13.31,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1779.17,101.89,224.36,46.16
56,Female,57.3,1.56,Weight Loss,Tom_Brown_and_bread,306.0,8.0,52.0,4.0,Jollof_Rice_with_Chicken,668.0,43.0,86.0,16.0,Banku_and_Tilapia_with_Hot_Pepper,529.0,34.0,63.0,10.0,Atsoomo_(Chin-Chin),362.0,4.0,29.0,16.0,1865.0,89.0,230.0,46.0
28,Female,59.5,1.53,Weight Loss,Tom_Brown_and_bread,343.0,8.0,54.0,4.0,Boiled_Plantain/Yam_and_Garden_egg_stew,417.0,22.0,61.0,8.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,526.0,22.0,58.0,19.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1593.38,57.91,209.59,41.85
26,Female,62.8,1.52,Weight Loss,Oatmeal,257.0,9.0,38.0,3.0,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Banku_and_Tilapia_with_Hot_Pepper,656.0,43.0,55.0,12.0,Plantain_Chips,292.0,3.0,35.0,8.0,1824.2,94.43,192.97,36.31
26,Female,64.3,1.52,Weight Loss,Tom_Brown_and_bread,392.0,9.0,54.0,4.0,Tuo_Zaafi_with_Meat_Stew,648.0,34.0,61.0,11.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,615.79,38.98,64.77,13.31,Agbelikaklo_with_Coconut,287.0,4.0,51.0,8.0,1942.79,85.98,230.77,36.31
51,Male,84.2,1.7,Muscle Gain,Oatmeal,290.0,14.0,46.0,5.0,Boiled_Plantain/Yam_and_Garden_egg_stew,577.0,21.0,57.0,8.0,Banku_with_Okra_Soup,699.0,40.0,70.0,11.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1873.38,80.91,209.59,34.85
33,Male,58.7,1.79,Weight Loss,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),474.0,8.0,45.0,8.0,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Boiled_Plantain/Yam_and_Garden_egg_stew,464.0,23.0,64.0,8.0,Kofi_Brokeman_(Roasted_Plantain_with_Groundnut),277.0,7.0,40.0,6.0,1834.2,77.43,213.97,35.31
76,Female,67.1,1.52,Muscle Gain,Oatmeal,305.0,12.0,46.0,4.0,Banku_with_Okra_Soup,509.0,39.0,76.0,10.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,603.0,46.0,51.0,17.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1724.38,102.91,209.59,41.85
40,Male,82.5,1.74,Muscle Gain,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),522.0,13.0,64.0,10.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,757.0,48.0,54.0,21.0,Jollof_Rice_with_Chicken,840.0,54.0,73.0,17.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2426.38,120.91,227.59,58.85
26,Female,67.4,1.61,Muscle Gain,Hausa_Koko_(millet_porridge)_with_Koose,330.0,14.0,39.0,7.0,Fufu_with_Light_Soup_with_Goat_Meat,807.0,39.0,75.0,16.0,Red-Red_(Beans_and_Plantain_with_red_oil),619.0,36.0,51.0,17.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2063.38,94.91,201.59,50.85
17,Female,51.7,1.28,Muscle Gain,White_porridge_and_bread,319.0,9.0,61.0,5.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,550.0,31.0,58.0,24.0,Waakye_and_Fish_with_egg,568.0,60.0,79.0,11.0,Atsoomo_(Chin-Chin),271.0,4.0,34.0,17.0,1708.0,104.0,232.0,57.0
51,Female,58.9,1.55,Weight Loss,Tea/Milo/Coffee_with_bread,285.0,6.0,36.0,6.0,Red-Red_(Beans_and_Plantain_with_red_oil),529.0,24.0,43.0,15.0,Banku_with_Okra_Soup,561.0,30.0,77.0,9.0,Nkatie_Cake_(Groundnut_Cake),298.0,10.0,19.0,15.0,1673.0,70.0,175.0,45.0
13,Male,51.1,1.21,Muscle Gain,White_porridge_and_bread,312.0,9.0,56.0,5.0,Tuo_Zaafi_with_Meat_Stew,545.0,56.0,70.0,15.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,541.0,55.0,68.0,20.0,Nkatie_Cake_(Groundnut_Cake),332.0,15.0,26.0,17.0,1730.0,135.0,220.0,57.0
64,Male,59.4,1.71,Weight Loss,Rice_water_and_bread,256.0,8.0,45.0,2.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,521.0,28.0,50.0,12.0,Waakye_and_Fish_with_egg,697.0,40.0,56.0,7.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1781.38,81.91,187.59,31.85
53,Male,65.7,1.69,Weight Loss,White_porridge_and_bread,399.0,6.0,51.0,4.0,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Fufu_with_Light_Soup_with_Goat_Meat,809.0,36.0,78.0,11.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2134.58,87.34,230.56,39.16
32,Female,75.7,1.67,Muscle Gain,Hausa_Koko_(millet_porridge)_with_Koose,423.0,13.0,40.0,7.0,Jollof_Rice_with_Chicken,828.0,49.0,93.0,18.0,Red-Red_(Beans_and_Plantain_with_red_oil),574.0,32.0,60.0,19.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2132.38,99.91,229.59,54.85
8,Female,47.2,1.0,Muscle Gain,Oatmeal,224.0,12.0,41.0,4.0,Banku_and_Tilapia_with_Hot_Pepper,437.0,45.0,73.0,15.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,532.0,52.0,53.0,19.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1500.38,114.91,203.59,48.85
65,Male,62.3,1.69,Weight Loss,Oatmeal,260.0,9.0,40.0,3.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,536.0,35.0,58.0,13.0,Tuo_Zaafi_with_Meat_Stew,570.0,34.0,76.0,8.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1673.38,83.91,210.59,34.85
13,Male,48.6,1.2,Muscle Gain,Oatmeal,231.0,15.0,41.0,4.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,599.0,52.0,51.0,17.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,473.0,36.0,64.0,23.0,Kofi_Brokeman_(Roasted_Plantain_with_Groundnut),243.0,8.0,43.0,8.0,1546.0,111.0,199.0,52.0
41,Male,79.0,1.72,Muscle Gain,Tea/Milo/Coffee_with_bread,372.0,7.0,34.0,6.0,Jollof_Rice_with_Chicken,619.2,39.43,64.97,13.31,Kenkey_and_Fried_Fish_with_Hot_Pepper,633.0,46.0,52.0,19.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1931.58,98.34,187.56,49.16
18,Male,64.8,1.69,Weight Loss,White_porridge_and_bread,352.0,7.0,48.0,4.0,Jollof_Rice_with_Chicken,856.0,44.0,73.0,17.0,Tuo_Zaafi_with_Meat_Stew,712.0,30.0,69.0,9.0,Kofi_Brokeman_(Roasted_Plantain_with_Groundnut),336.0,7.0,37.0,8.0,2256.0,88.0,227.0,38.0
75,Male,73.5,1.64,Muscle Gain,Tom_Brown_and_bread,324.0,10.0,63.0,5.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,704.0,42.0,61.0,14.0,Banku_and_Tilapia_with_Hot_Pepper,642.0,49.0,68.0,11.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1977.38,106.91,228.59,40.85
41,Male,86.6,1.6,Muscle Gain,Oatmeal,383.0,10.0,48.0,4.0,Tuo_Zaafi_with_Meat_Stew,776.0,43.0,76.0,13.0,Boiled_Plantain/Yam_and_Garden_egg_stew,576.0,26.0,72.0,11.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2042.38,84.91,232.59,38.85
12,Female,43.9,1.19,Weight Loss,Hausa_Koko_(millet_porridge)_with_Koose,265.0,13.0,36.0,6.0,Banku_with_Okra_Soup,463.0,33.0,64.0,10.0,Fufu_with_Light_Soup_with_Goat_Meat,526.0,44.0,63.0,10.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1561.38,95.91,199.59,36.85
9,Male,39.8,1.14,Weight Loss,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),336.0,9.0,54.0,6.0,Red-Red_(Beans_and_Plantain_with_red_oil),448.0,40.0,42.0,15.0,Boiled_Plantain/Yam_and_Garden_egg_stew,389.0,28.0,60.0,8.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1480.38,82.91,192.59,39.85
58,Female,59.5,1.62,Weight Loss,White_porridge_and_bread,279.0,6.0,55.0,4.0,Boiled_Plantain/Yam_and_Garden_egg_stew,425.0,17.0,55.0,6.0,Banku_with_Okra_Soup,574.0,34.0,58.0,9.0,Agbelikaklo_with_Coconut,332.0,4.0,48.0,6.0,1610.0,61.0,216.0,25.0
17,Female,53.4,1.28,Muscle Gain,Oatmeal,277.0,12.0,44.0,4.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,438.0,36.0,55.0,21.0,Fufu_with_Light_Soup_with_Goat_Meat,554.0,54.0,90.0,15.0,Plantain_Chips,215.0,3.0,41.0,12.0,1484.0,105.0,230.0,52.0
32,Female,71.4,1.6,Muscle Gain,Oatmeal,327.0,10.0,47.0,4.0,Tuo_Zaafi_with_Meat_Stew,605.0,33.0,64.0,12.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,615.79,38.98,64.77,13.31,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1855.17,87.89,212.36,40.16
53,Female,53.2,1.64,Weight Loss,Tea/Milo/Coffee_with_bread,242.0,6.0,35.0,6.0,Banku_with_Okra_Soup,634.0,33.0,71.0,9.0,Jollof_Rice_with_Chicken,796.0,35.0,70.0,13.0,Agbelikaklo_with_Coconut,255.0,4.0,44.0,7.0,1927.0,78.0,220.0,35.0
16,Female,50.0,1.24,Muscle Gain,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),397.0,15.0,66.0,9.0,Red-Red_(Beans_and_Plantain_with_red_oil),426.0,37.0,59.0,16.0,Fufu_with_Light_Soup_with_Goat_Meat,638.0,54.0,70.0,16.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1768.38,111.91,231.59,51.85
60,Female,75.0,1.63,Muscle Gain,White_porridge_and_bread,387.0,7.0,51.0,5.0,Boiled_Plantain/Yam_and_Garden_egg_stew,495.0,21.0,62.0,8.0,Banku_and_Tilapia_with_Hot_Pepper,694.0,42.0,66.0,17.0,Nkatie_Cake_(Groundnut_Cake),321.0,10.0,23.0,16.0,1897.0,80.0,202.0,46.0
28,Male,72.3,1.62,Muscle Gain,Tea/Milo/Coffee_with_bread,347.0,6.0,40.0,7.0,Banku_and_Tilapia_with_Hot_Pepper,795.0,55.0,69.0,16.0,Banku_with_Okra_Soup,728.0,33.0,67.0,10.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2177.38,99.91,212.59,43.85
13,Male,38.9,1.21,Weight Loss,Oatmeal,264.0,11.0,41.0,4.0,Red-Red_(Beans_and_Plantain_with_red_oil),411.0,35.0,44.0,14.0,Tuo_Zaafi_with_Meat_Stew,573.0,41.0,71.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1555.38,92.91,192.59,40.85
58,Male,83.6,1.75,Muscle Gain,Tom_Brown_and_bread,379.0,9.0,67.0,6.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,719.0,34.0,51.0,21.0,Banku_with_Okra_Soup,717.0,37.0,77.0,13.0,Agbelikaklo_with_Coconut,339.0,6.0,48.0,11.0,2154.0,86.0,243.0,51.0
27,Female,57.6,1.65,Weight Loss,White_porridge_and_bread,340.0,6.0,44.0,4.0,Plain_Rice_with_Chicken,570.0,39.0,54.0,14.0,Fufu_with_Light_Soup_with_Goat_Meat,726.0,34.0,73.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1943.38,84.91,207.59,40.85
28,Female,59.6,1.68,Weight Loss,Rice_water_and_bread,323.0,6.0,44.0,4.0,Plain_Rice_with_Chicken,672.0,40.0,63.0,14.0,Kenkey_and_Fried_Fish_with_Hot_Pepper,523.0,37.0,58.0,17.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1825.38,88.91,201.59,45.85
11,Male,45.0,1.21,Weight Loss,Tom_Brown_and_bread,292.0,9.0,46.0,4.0,Red-Red_(Beans_and_Plantain_with_red_oil),389.0,34.0,55.0,14.0,Jollof_Rice_with_Chicken,698.0,57.0,75.0,17.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1686.38,105.91,212.59,45.85
36,Female,73.9,1.54,Muscle Gain,White_porridge_and_bread,300.0,8.0,48.0,6.0,Banku_with_Okra_Soup,570.0,31.0,73.0,13.0,Tuo_Zaafi_with_Meat_Stew,710.0,37.0,78.0,14.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1887.38,81.91,235.59,43.85
32,Female,58.1,1.56,Weight Loss,Koko_with_Bofroat_(corn_dough_porridge_with_buffloaf),379.0,8.0,55.0,7.0,Waakye_and_Fish_with_egg,674.0,39.0,72.0,8.0,Red-Red_(Beans_and_Plantain_with_red_oil),452.0,29.0,46.0,16.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1812.38,81.91,209.59,41.85
84,Female,54.1,1.49,Weight Loss,Rice_water_and_bread,243.0,7.0,46.0,2.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,438.0,24.0,53.0,12.0,Banku_and_Tilapia_with_Hot_Pepper,514.0,36.0,50.0,10.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1502.38,72.91,185.59,34.85
34,Male,71.8,1.76,Weight Loss,White_porridge_and_bread,319.0,6.0,42.0,4.0,Banku_and_Tilapia_with_Hot_Pepper,717.0,42.0,49.0,11.0,Plain_Rice_with_Chicken,762.0,42.0,63.0,13.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2105.38,95.91,190.59,38.85
5,Female,30.3,1.0,Weight Loss,White_porridge_and_bread,255.0,8.0,46.0,4.0,Banku_and_Tilapia_with_Hot_Pepper,484.0,51.0,56.0,10.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,388.0,32.0,55.0,16.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1434.38,96.91,193.59,40.85
33,Female,51.3,1.61,Weight Loss,Hausa_Koko_(millet_porridge)_with_Koose,320.0,11.0,38.0,6.0,Red-Red_(Beans_and_Plantain_with_red_oil),457.0,25.0,45.0,13.0,Plain_Rice_with_Chicken,728.0,44.0,54.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1812.38,85.91,173.59,41.85
72,Female,55.4,1.53,Weight Loss,Oatmeal,336.42,9.46,47.78,5.3,Jollof_Rice_with_Chicken,586.0,34.0,66.0,13.0,Boiled_Plantain/Yam_and_Garden_egg_stew,405.0,19.0,59.0,6.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1634.8,68.37,209.37,35.15
58,Female,59.1,1.66,Weight Loss,White_porridge_and_bread,279.0,6.0,41.0,4.0,Banku_and_Tilapia_with_Hot_Pepper,540.0,33.0,49.0,12.0,Plain_Rice_with_Chicken,699.0,49.0,64.0,13.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1825.38,93.91,190.59,39.85
68,Male,74.5,1.65,Muscle Gain,White_porridge_and_bread,356.0,8.0,62.0,4.0,Jollof_Rice_with_Chicken,842.0,58.0,86.0,17.0,Red-Red_(Beans_and_Plantain_with_red_oil),537.0,32.0,57.0,12.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2042.38,103.91,241.59,43.85
25,Male,67.2,1.77,Muscle Gain,White_porridge_and_bread,335.0,7.0,53.0,5.0,Banku_and_Tilapia_with_Hot_Pepper,634.0,49.0,58.0,16.0,Boiled_Plantain/Yam_and_Garden_egg_stew,610.0,24.0,57.0,8.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1886.38,85.91,204.59,39.85
49,Male,84.2,1.65,Muscle Gain,White_porridge_and_bread,427.0,8.0,51.0,5.0,Tuo_Zaafi_with_Meat_Stew,733.0,36.0,67.0,14.0,Fufu_with_Light_Soup_with_Goat_Meat,789.0,44.0,73.0,15.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2256.38,93.91,227.59,44.85
68,Female,72.2,1.58,Muscle Gain,Tea/Milo/Coffee_with_bread,267.0,6.0,38.0,6.0,Banku_with_Okra_Soup,543.0,37.0,66.0,8.0,Boiled_Plantain/Yam_and_Garden_egg_stew,449.0,20.0,58.0,7.0,Atsoomo_(Chin-Chin),355.0,4.0,33.0,17.0,1614.0,67.0,195.0,38.0
25,Male,81.4,1.71,Muscle Gain,Rice_water_and_bread,317.0,9.0,56.0,4.0,Angwamu_(Oil_Rice)_with_Hot_Pepper_and_Egg,572.0,27.0,56.0,20.0,Waakye_and_Fish_with_egg,781.0,46.0,79.0,10.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1977.38,87.91,227.59,44.85
57,Female,68.7,1.59,Muscle Gain,Tea/Milo/Coffee_with_bread,321.0,6.0,42.0,9.0,Tuo_Zaafi_with_Meat_Stew,726.0,43.0,85.0,12.0,Jollof_Rice_with_Chicken,833.0,42.0,84.0,22.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,2187.38,96.91,247.59,53.85
17,Female,43.5,1.28,Weight Loss,Oatmeal,336.42,9.46,47.78,5.3,Red-Red_(Beans_and_Plantain_with_red_oil),370.0,37.0,51.0,15.0,Tuo_Zaafi_with_Meat_Stew,476.0,34.0,62.0,10.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1489.8,86.37,197.37,41.15
56,Female,60.3,1.56,Weight Loss,Tea/Milo/Coffee_with_bread,275.0,5.0,37.0,5.0,Banku_with_Okra_Soup,683.0,29.0,72.0,8.0,Waakye_and_Fish_with_egg,571.0,37.0,62.0,9.0,Atsoomo_(Chin-Chin),307.38,5.91,36.59,10.85,1836.38,76.91,207.59,32.85
